,0
0,1066587.5355241552
1,1079479.3919902286
2,1078312.1325793567
3,1081865.5818476924
4,1076167.802455819
5,1070393.122164599
6,1078245.714060129
7,1071854.4926180711
8,1069627.6815305622
9,1070947.6140006264
10,1069249.2424713802
11,1064798.1969508461
12,1072363.384917907
13,1073051.418033978
14,1087159.0924343814
15,1093389.0380429584
16,1095141.9744593613
17,1092447.6343573835
18,1090801.4343220866
19,1084585.3745334141
20,1082865.987143786
21,1083228.9525437187
22,1094063.6948800038
23,1091871.0410613376
24,1097167.7139413178
25,1095040.7832707781
26,1106730.9404360158
27,1109331.8326306618
28,1114738.0011501291
29,1122686.4940601352
30,1128162.3516729283
31,1128154.0805376056
32,1129740.4763002717
33,1137471.7699518166
34,1141359.8192178449
35,1139808.8224531985
36,1141284.2634470558
37,1136104.4237780853
38,1132511.6629290257
39,1144957.9675114453
40,1140463.1825552913
41,1137484.5899619812
42,1136415.0168747106
43,1134488.168758469
44,1133313.3016594518
45,1128361.5691016733
46,1130270.042142793
47,1127702.0798970975
48,1127844.7185104094
49,1129767.9458556767
50,1132958.7007177358
51,1128322.4238487305
52,1127628.909644811
53,1112880.0005683762
54,1109866.057571228
55,1111954.7772944428
56,1109375.6570471062
57,1105572.3988651976
58,1113156.0946869464
59,1111997.6556366007
60,1115220.8591363898
61,1115458.4658161988
62,1113154.2367817
