,0
0,1031687.9960480599
1,1032238.3273949139
2,1031052.3464246215
3,1040610.402949151
4,1044394.1930558158
5,1046262.5863266664
6,1048022.5762349232
7,1056198.195155653
8,1053178.946878293
9,1055641.332786926
10,1058698.9230877834
11,1055216.3341549858
12,1054145.0075944979
13,1056698.8356779781
14,1053258.8496093508
15,1039061.280608017
16,1032502.8082133777
17,1029975.1451354763
18,1026414.4521126186
19,1025360.8293706432
20,1020166.2860907855
21,1026606.033847596
22,1024787.9236615086
23,1032034.995535715
24,1030194.2652098304
25,1033193.9416297745
26,1040048.0633740127
27,1042785.2628039761
28,1036285.9881595441
29,1038720.8831755169
30,1032508.8948926264
31,1033080.7276255208
32,1034374.4855667504
33,1032499.3638668571
34,1030953.3974909865
35,1031376.5357675113
36,1027945.3496624145
37,1025994.9184347704
38,1020696.929115247
39,1026585.3960564289
40,1026317.2179061787
41,1023938.8044545131
42,1024992.0931004229
43,1029994.7844049535
44,1026512.2774296267
45,1027476.5919602442
46,1031886.5232908957
47,1012838.3737371316
48,1019789.0563095597
49,1006476.7914219043
50,1002446.9422186271
51,1009093.1982837757
52,1007317.611815675
53,1007547.9323502043
54,1006354.654663175
55,1009566.2710880291
56,1018154.6256412034
57,1012982.1550760751
58,1000680.9580434674
59,1005739.1004794897
60,1007047.6924702162
61,996022.6448004724
62,1005139.9449048821
