,0
0,1126857.085416119
1,1115181.2956584923
2,1120471.8937934702
3,1120141.7946695464
4,1118833.007441028
5,1125754.871042658
6,1123510.896080254
7,1127693.2757511723
8,1126534.5349593305
9,1122330.7847550332
10,1127655.0936314499
11,1123713.173268991
12,1123074.5059876414
13,1118160.0619859798
14,1122374.364925803
15,1119261.6980989256
16,1122468.1634863801
17,1121345.722876444
18,1121386.3938983507
19,1121836.285332057
20,1123343.527375331
21,1123545.903757937
22,1123616.0731677904
23,1122394.8096242805
24,1120350.2622275618
25,1115613.1603250161
26,1110622.2150443671
27,1112595.7520509206
28,1118217.1345144717
29,1117731.665808805
30,1121237.5844408565
31,1108029.8281428842
32,1102802.0883705122
33,1106494.693783243
34,1115024.473560089
35,1110777.7182703454
36,1109392.7887672498
37,1112158.3590812068
38,1113978.0462260172
39,1115631.325392873
40,1117586.9912439755
41,1123824.3779342363
42,1125840.8460944658
43,1116378.9247256627
44,1120201.0042217344
45,1126010.4013714413
46,1127386.3158056496
47,1143661.5704245572
48,1142673.0346570504
49,1144788.9170675245
50,1146904.7835219782
51,1147554.4331373568
52,1147006.3217743712
53,1147332.4244208233
54,1149380.6511295354
55,1147188.2864457516
56,1148269.3014520127
57,1145529.9598620774
58,1141157.1795638357
59,1136618.5061661561
60,1143580.431463351
61,1144506.6937459172
62,1153198.529393387
