,0
0,1256008.8778378954
1,1271136.7279747538
2,1280230.300287987
3,1278949.7773097611
4,1278947.5273097611
5,1278947.697309761
6,1278946.877309761
7,1278945.907309761
8,1278944.807309761
9,1278944.687309761
10,1278944.7473097611
11,1278944.307309761
12,1278943.5273097611
13,1278949.837309761
14,1278949.597309761
15,1278947.2673097611
16,1278946.337309761
17,1278947.987309761
18,1278949.237309761
19,1278953.477309761
20,1278951.647309761
21,1278953.987309761
22,1278961.2773097611
23,1278959.837309761
24,1278960.2473097611
25,1278965.307309761
26,1278962.137309761
27,1278961.397309761
28,1278961.707309761
29,1278961.9973097611
30,1278960.437309761
31,1278958.5173097611
32,1278960.797309761
33,1278961.7573097611
34,1278961.7573097611
35,1278959.647309761
36,1278959.597309761
37,1278959.9973097611
38,1278961.7873097612
39,1278964.387309761
40,1278962.847309761
41,1278961.877309761
42,1278963.447309761
43,1278962.627309761
44,1278959.607309761
45,1278957.867309761
46,1278959.0373097612
47,1278957.317309761
48,1278959.347309761
49,1278958.607309761
50,1278957.987309761
51,1275770.8196855641
52,1277365.8642366764
53,1275067.1046954142
54,1248795.6636226433
55,1231032.1252218524
56,1262403.5067874033
57,1244317.4127214113
58,1244296.8771277713
59,1255542.693548643
60,1232213.3311066884
61,1253418.6142958826
62,1268462.1730304048
