,0
0,1000000.0
1,999910.6289005105
2,997291.9206585925
3,989753.4070678612
4,986601.6112395825
5,988315.1944595504
6,991172.5364070885
7,978205.7843537483
8,982896.0216173906
9,971792.1402914852
10,974559.9571651409
11,965473.2008530933
12,969560.5434007724
13,977574.7861976776
14,966921.5822304264
15,978601.3476015002
16,969911.0476108785
17,971807.9350652953
18,994052.298738389
19,994858.6502122962
20,970032.3751059193
21,971994.2464967535
22,977213.0549943855
23,961827.1131542748
24,942803.9788236273
25,944293.41419296
26,942745.2655110413
27,927304.7873270666
28,950248.1296656254
29,966645.2884714743
30,982201.9374882446
31,974783.6397327704
32,974569.6605175831
33,988393.7907348986
34,977084.8544149784
35,980243.9120337557
36,991680.3407062885
37,991221.1127260576
38,983332.091177415
39,1005950.9116886903
40,1006740.6254206588
41,1011054.8006687786
42,1014618.1682293441
43,1013697.0929373166
44,1006711.4812316445
45,1006463.3596520404
46,1008604.603189821
47,1024349.2858861425
48,1024243.2358628564
49,1025830.2122936415
50,1030385.6858871473
51,1040562.6342436482
52,1047320.6028362875
53,1049191.266412812
54,1047692.1510455857
55,1041424.7714072132
56,1040636.482134633
57,1040640.6632362691
58,1050763.5489998334
59,1057803.9229861319
60,1053614.5734500661
61,1062346.363061196
62,1058324.2475788284
