,0
0,1058324.2475788284
1,1056592.6043681179
2,1041813.5391840283
3,1042320.94971278
4,1039446.6928182672
5,1048231.958521396
6,1058558.4553167191
7,1058236.7827297214
8,1055632.9016806886
9,1060400.4033165434
10,1067426.5382015302
11,1064769.1753640499
12,1052880.9582595346
13,1056198.9236474903
14,1059030.4507468517
15,1058705.1059755427
16,1064677.8944857577
17,1054458.9022843062
18,1049544.2298308134
19,1059670.9264848945
20,1057035.4579243374
21,1054928.9389437113
22,1056487.4405311279
23,1059158.554058865
24,1061154.374610902
25,1070147.2687562958
26,1048844.437864443
27,1051149.152377861
28,1040650.2926519455
29,1045053.7427604214
30,1033259.0395000773
31,1025161.0397672484
32,1020187.3307305817
33,1019443.5745639185
34,1015451.9764684634
35,1023795.855719457
36,1024865.9556051616
37,1025716.5440534928
38,1028335.8913654593
39,1022546.2285156236
40,1020062.5499531872
41,1021661.0992841015
42,1020546.5826623958
43,1024413.5976707874
44,1024689.6130909331
45,1026039.7193849484
46,1029163.2281733423
47,1032665.0979282161
48,1035171.0352009011
49,1036255.6193272085
50,1033041.9315630873
51,1034275.2727303487
52,1034957.1988972917
53,1041804.5259794646
54,1038473.9952448257
55,1032436.0391242572
56,1037506.8217563862
57,1011598.6797557328
58,992236.9837038002
59,1008583.9221132396
60,1023160.6637109832
61,1030139.5429601246
62,1031687.9960480599
