,0
0,1113154.2367817
1,1106554.8406779112
2,1107070.4634957288
3,1108875.9686814756
4,1107835.608142714
5,1107003.6079077364
6,1104443.3905455742
7,1098603.2692928468
8,1107835.9005631139
9,1107156.4260128033
10,1095530.272213515
11,1103808.2336606188
12,1103726.1891452537
13,1109041.9602463413
14,1116539.7793633852
15,1116189.9278218683
16,1120051.749703313
17,1119854.241629994
18,1119202.427588713
19,1118083.2336505945
20,1117884.9615670552
21,1117677.6524149543
22,1118722.2197970767
23,1118360.221241026
24,1117948.6993559087
25,1117948.6993559087
26,1117948.6993559087
27,1117848.0132973038
28,1117710.157286173
29,1117710.157286173
30,1117710.157286173
31,1117710.157286173
32,1117710.157286173
33,1117710.157286173
34,1117817.5354335548
35,1118340.962542332
36,1118126.2505889484
37,1118054.5162212448
38,1117270.7498389932
39,1117110.368272544
40,1118764.3544674753
41,1120966.955602107
42,1119295.4519952447
43,1117536.0889363908
44,1118356.5213995576
45,1116138.231543465
46,1120694.718389041
47,1119379.593479536
48,1123867.095648551
49,1122258.9267981313
50,1119765.3849353052
51,1117292.5937181283
52,1125222.3788652008
53,1120991.2535093774
54,1120182.5746757125
55,1119248.263038132
56,1121359.3796515078
57,1122655.1801704566
58,1116666.5712746321
59,1123705.7132079408
60,1114207.147174643
61,1123951.0988294783
62,1126857.085416119
