,0
0,-367.20363730180543
1,-4608.38777079701
2,-10004.042025534203
3,-5975.087269529817
4,-1139.7285371851176
5,6233.252916931058
6,-19327.107303001685
7,19397.250434770947
8,-23168.577843348612
9,-2426.2446134435013
10,-16269.944934499916
11,4155.1667650262825
12,11494.603036594926
13,-13754.237115633092
14,15663.421618553228
15,-21188.018755788333
16,6044.275611331803
17,21686.85765839275
18,1675.742967765429
19,-13271.85166371474
20,13948.513399256393
21,8233.286148530315
22,-11808.248664569575
23,-6381.978478388395
24,-2712.96894978988
25,-5798.758442172315
26,-15802.638474968611
27,16338.717626679572
28,12374.191082870588
29,19836.817706541624
30,-760.2958566702437
31,-2970.213210027432
32,14991.439137768233
33,-12327.03543892072
34,2760.903682920267
35,10412.654015352018
36,-3041.6557884085923
37,-6471.745886186953
38,22883.36401968554
39,1978.0025613586186
40,3297.5977724957047
41,4703.2881770927925
42,6955.601356534986
43,-7667.819976136321
44,6416.953745095525
45,556.6078622951172
46,14540.326180342585
47,57.27207284118049
48,1832.1450042376528
49,7052.206726234057
50,9259.490043121157
51,6372.242817310849
52,2042.295930169057
53,-706.0988073300105
54,-5553.046155771008
55,1819.8797729050275
56,187.02723840833642
57,5564.109357846668
58,2069.785520273028
59,-4091.456958628958
60,5214.316602519248
61,-1610.8936592249665
