,0
0,1000000.0
1,999632.7963626982
2,995024.4085919012
3,985020.366566367
4,979045.2792968372
5,977905.550759652
6,984138.8036765831
7,964811.6963735814
8,984208.9468083524
9,961040.3689650038
10,958614.1243515603
11,942344.1794170603
12,946499.3461820866
13,957993.9492186815
14,944239.7121030485
15,959903.1337216017
16,938715.1149658134
17,944759.3905771452
18,966446.2482355379
19,968121.9912033033
20,954850.1395395886
21,968798.652938845
22,977031.9390873753
23,965223.6904228057
24,958841.7119444173
25,956128.7429946274
26,950329.9845524551
27,934527.3460774865
28,950866.0637041661
29,963240.2547870367
30,983077.0724935783
31,982316.7766369081
32,979346.5634268806
33,994338.0025646489
34,982010.9671257281
35,984771.8708086484
36,995184.5248240004
37,992142.8690355918
38,985671.1231494049
39,1008554.4871690904
40,1010532.489730449
41,1013830.0875029447
42,1018533.3756800375
43,1025488.9770365725
44,1017821.1570604362
45,1024238.1108055317
46,1024794.7186678268
47,1039335.0448481694
48,1039392.3169210106
49,1041224.4619252483
50,1048276.6686514823
51,1057536.1586946035
52,1063908.4015119143
53,1065950.6974420834
54,1065244.5986347534
55,1059691.5524789824
56,1061511.4322518874
57,1061698.4594902957
58,1067262.5688481424
59,1069332.3543684154
60,1065240.8974097865
61,1070455.2140123057
62,1068844.3203530808
