,0
0,1509846.273140558
1,1509845.740042707
2,1509667.9958295827
3,1509667.9958295827
4,1509667.9958295827
5,1509667.9958295827
6,1509667.9958295827
7,1509667.9958295827
8,1509667.9958295827
9,1509667.9958295827
10,1509667.9958295827
11,1509667.9958295827
12,1509667.9958295827
13,1509667.9958295827
14,1509667.9958295827
15,1509667.9958295827
16,1509667.9958295827
17,1509667.9958295827
18,1509667.9958295827
19,1509667.9958295827
20,1509667.9958295827
21,1509667.9958295827
22,1509667.9958295827
23,1509667.9958295827
24,1509667.9958295827
25,1509667.9958295827
26,1509667.9958295827
27,1509667.9958295827
28,1509667.9958295827
29,1509667.9958295827
30,1509667.9958295827
31,1509667.9958295827
32,1509667.9958295827
33,1509667.9958295827
34,1509667.9958295827
35,1509667.9958295827
36,1509667.9958295827
37,1509667.9958295827
38,1509667.9958295827
39,1509667.9958295827
40,1509667.9958295827
41,1509667.9958295827
42,1509667.9958295827
43,1509667.9958295827
44,1509667.9958295827
45,1509667.9958295827
46,1509667.9958295827
47,1509667.9958295827
48,1509667.9958295827
49,1509667.9958295827
50,1509667.9958295827
51,1509667.9958295827
52,1509667.9958295827
53,1509667.9958295827
54,1509667.9958295827
55,1509667.9958295827
56,1509667.9958295827
57,1510264.0191314186
58,1511523.1549329502
59,1513973.8254752909
60,1516347.0047873238
61,1522807.4896171996
62,1519741.6187519808
