,0
0,1304365.8984409587
1,1298505.0811302199
2,1305706.487122989
3,1302959.8446253303
4,1301018.117898391
5,1308072.0032198236
6,1305639.054894768
7,1309493.805601144
8,1308211.9292474845
9,1309319.0698367497
10,1314805.7403705167
11,1312627.6187588929
12,1312807.301344595
13,1305441.1551382204
14,1314316.6607460259
15,1306725.620276113
16,1308596.3240668252
17,1307287.7530325963
18,1307521.003906737
19,1308451.3023230957
20,1309010.39693092
21,1309905.6964026056
22,1310078.1650050953
23,1308121.3905702946
24,1307230.5535357636
25,1305568.5282230056
26,1297144.838818052
27,1297963.7454992603
28,1304518.6701258393
29,1303704.9155532215
30,1309016.5529824018
31,1294819.5826787516
32,1288090.748320305
33,1289941.0061943203
34,1300548.6523689912
35,1295357.5182304555
36,1291625.0163694867
37,1293058.6729608115
38,1292151.2111322081
39,1296711.7286609535
40,1296143.4826014098
41,1299678.2997381075
42,1296873.0418335877
43,1277478.259820467
44,1278037.8296992073
45,1274072.8281641444
46,1274969.771668583
47,1288999.2987021885
48,1285332.795435644
49,1287956.651696926
50,1291426.2034710082
51,1294076.5794478948
52,1294894.4293243657
53,1296770.7486138877
54,1301949.5183675156
55,1297138.215245176
56,1295525.7646175062
57,1289236.9825838623
58,1286424.475466553
59,1291787.3937653885
60,1294512.491363445
61,1295452.1363199195
62,1306619.0322018177
