,0
0,1114829.4203923088
1,1115129.9326203666
2,1110344.6207357058
3,1120602.6766916413
4,1123108.843042007
5,1125086.9743487935
6,1127915.0772543084
7,1132536.9497410175
8,1134337.8934873098
9,1132988.5198822543
10,1139556.230000191
11,1138998.6656580318
12,1135841.9998844177
13,1138834.4304059274
14,1130900.585348777
15,1124195.3700364872
16,1123584.2609789288
17,1122932.7817054954
18,1123746.6526439872
19,1124069.198695089
20,1120470.9294867914
21,1122195.5149312036
22,1119513.7060573786
23,1125439.9592886558
24,1122400.7419838158
25,1123111.9893723505
26,1126596.3160193076
27,1132483.1196475427
28,1130497.9605506342
29,1128631.2656524102
30,1124122.199256765
31,1126201.145376989
32,1127058.739714529
33,1124188.323485891
34,1123033.684557287
35,1122967.6634250083
36,1115912.9050077263
37,1108755.4917852227
38,1104917.427201101
39,1109925.1286528225
40,1107117.8223325554
41,1102021.0744037838
42,1102976.7340596216
43,1108147.232668325
44,1107388.7473823754
45,1102170.1434099022
46,1104220.6039693656
47,1083103.5292644708
48,1098039.1868300836
49,1085984.7633787743
50,1083223.162970373
51,1092025.9733918207
52,1095039.372207357
53,1096266.669195196
54,1098949.1514677638
55,1110603.6693599909
56,1117559.1679142204
57,1111198.3358761806
58,1101579.719537298
59,1106340.7079968469
60,1107815.231136953
61,1094943.004596731
62,1105227.657891256
