,0
0,1421275.915659899
1,1421650.2668008916
2,1426678.1190858586
3,1430613.8840096882
4,1424557.3267854059
5,1432904.7562607455
6,1439312.5946922104
7,1440849.697317029
8,1437271.009533063
9,1447601.8028336917
10,1439509.8454878817
11,1437116.541469327
12,1431328.6386149416
13,1442305.449907132
14,1451690.4724855628
15,1463439.072970195
16,1459429.7735010758
17,1446120.160389227
18,1452928.6958323866
19,1441861.7842305815
20,1440419.9344031564
21,1440419.9344031564
22,1440419.9344031564
23,1440419.9344031564
24,1440419.9344031564
25,1440419.9344031564
26,1440419.9344031564
27,1440419.9344031564
28,1440419.9344031564
29,1440419.9344031564
30,1440419.9344031564
31,1440419.9344031564
32,1440419.9344031564
33,1440419.9344031564
34,1440419.9344031564
35,1439734.3392696045
36,1442136.1643575034
37,1446892.8367239947
38,1447283.610283075
39,1448663.5818431925
40,1442839.2903717903
41,1441700.7082372478
42,1441700.7082372478
43,1441498.2930438167
44,1442095.5461455362
45,1439896.1221647467
46,1433758.7748903178
47,1436986.3562550624
48,1436026.972067443
49,1436026.972067443
50,1436026.972067443
51,1436026.972067443
52,1437422.1479327162
53,1437229.2019555995
54,1438739.7329186976
55,1440379.0883705267
56,1437789.3638056314
57,1434365.9026864227
58,1432116.5649869158
59,1435011.128130757
60,1433837.4715690122
61,1433837.4715690122
62,1433837.4715690122
