,0
0,1419887.2235837544
1,1435647.1351501746
2,1443795.910173181
3,1442352.2486687014
4,1442352.2486687014
5,1442352.2486687014
6,1442352.2486687014
7,1442352.2486687014
8,1442352.2486687014
9,1442352.2486687014
10,1442352.2486687014
11,1442352.2486687014
12,1442352.2486687014
13,1442352.2486687014
14,1442352.2486687014
15,1442352.2486687014
16,1442352.2486687014
17,1442352.2486687014
18,1442352.2486687014
19,1442352.2486687014
20,1442352.2486687014
21,1442352.2486687014
22,1442352.2486687014
23,1442352.2486687014
24,1442352.2486687014
25,1442352.2486687014
26,1442352.2486687014
27,1442352.2486687014
28,1442352.2486687014
29,1442352.2486687014
30,1442352.2486687014
31,1442352.2486687014
32,1442352.2486687014
33,1442352.2486687014
34,1442352.2486687014
35,1442352.2486687014
36,1442352.2486687014
37,1442352.2486687014
38,1442352.2486687014
39,1442352.2486687014
40,1442352.2486687014
41,1442352.2486687014
42,1442352.2486687014
43,1442352.2486687014
44,1442352.2486687014
45,1442352.2486687014
46,1442352.2486687014
47,1442352.2486687014
48,1442352.2486687014
49,1442352.2486687014
50,1442352.2486687014
51,1440047.156181139
52,1441609.8926857207
53,1441291.6065877276
54,1419500.7540664827
55,1403329.0869893434
56,1434898.181651392
57,1411644.598175852
58,1411499.9528395678
59,1426819.9668410085
60,1398583.6978763929
61,1423597.3493341035
62,1433994.1930928256
