,0
0,1177588.7304166048
1,1195940.9856640005
2,1193011.2912737676
3,1197295.402452697
4,1196061.7597922983
5,1197930.25753378
6,1200900.4369683275
7,1196573.1054145154
8,1196533.921480728
9,1196395.7691695618
10,1189414.150676114
11,1187183.8589912988
12,1191095.7397938117
13,1195695.017723032
14,1200982.8353976351
15,1204346.7798162175
16,1209907.704926883
17,1212521.3518780735
18,1211744.2738252776
19,1209165.733393492
20,1212925.04594826
21,1206982.3200837637
22,1212702.3031106836
23,1205781.2074973914
24,1205897.7731858778
25,1207643.9164751328
26,1213929.365226144
27,1218300.8640360208
28,1225317.2333621534
29,1234917.3555618718
30,1241189.759815726
31,1239505.820524332
32,1228317.322205706
33,1241066.94984483
34,1242352.3264666204
35,1244462.9477096216
36,1248686.1494768304
37,1252394.5887380945
38,1250189.564172595
39,1265801.1262388304
40,1263913.9373883982
41,1265649.8701475086
42,1263412.402894152
43,1260178.1531378746
44,1259329.3235476138
45,1259546.9395127082
46,1265501.8288099123
47,1267688.6395313088
48,1264976.371387957
49,1274895.0162014645
50,1273400.4223151368
51,1271346.0476552213
52,1267003.9346042816
53,1256633.8876652536
54,1256498.3966882292
55,1253374.1250627295
56,1250888.7064099922
57,1248907.7106921265
58,1255576.6884812533
59,1248093.8781900168
60,1253497.5109500252
61,1250200.1620051516
62,1252041.3011855194
