,0
0,1252041.3011855194
1,1249854.9510976234
2,1250889.391293779
3,1250842.0354074049
4,1252314.4267453803
5,1253987.3559224824
6,1248478.1887407813
7,1241989.1932765448
8,1254465.7669574055
9,1255486.029598669
10,1248510.7861331762
11,1257186.289877302
12,1257151.8155056527
13,1273078.1992135465
14,1293534.3113323215
15,1297933.24819348
16,1298190.435321425
17,1295168.1688945906
18,1289206.1640307438
19,1287916.9806756983
20,1288214.5666357484
21,1288146.001525925
22,1288074.6790423393
23,1287337.3950358818
24,1286549.4220611025
25,1286549.4220611025
26,1286549.4220611025
27,1286325.0533768248
28,1286130.0868463188
29,1286130.0868463188
30,1286130.0868463188
31,1286130.0868463188
32,1286130.0868463188
33,1286130.0868463188
34,1286012.9149422753
35,1286812.8130373484
36,1286419.7657538913
37,1286051.920352674
38,1285292.7210686621
39,1287024.209870555
40,1290466.2702199782
41,1295146.659589321
42,1293598.9186452331
43,1286523.0004919688
44,1286462.1395325726
45,1288782.3745783488
46,1294392.853867976
47,1293621.7841476698
48,1299110.5073240155
49,1303579.3879876963
50,1307614.0191273754
51,1308526.2191535444
52,1315242.6946417494
53,1311331.3155933637
54,1306863.9633043164
55,1305570.158885142
56,1306017.2062352246
57,1304972.6062079878
58,1299619.4228499096
59,1306869.7781889597
60,1296906.3087229412
61,1299678.0768246716
62,1304365.8984409587
