,0
0,1522054.858984198
1,1521056.6409763887
2,1520850.6552211584
3,1520850.6552211584
4,1520850.6552211584
5,1520850.6552211584
6,1520850.6552211584
7,1520850.6552211584
8,1520850.6552211584
9,1520850.6552211584
10,1520850.6552211584
11,1520850.6552211584
12,1520850.6552211584
13,1520850.6552211584
14,1520850.6552211584
15,1520850.6552211584
16,1520850.6552211584
17,1520850.6552211584
18,1520850.6552211584
19,1520850.6552211584
20,1520850.6552211584
21,1520850.6552211584
22,1520850.6552211584
23,1520850.6552211584
24,1520850.6552211584
25,1520850.6552211584
26,1520850.6552211584
27,1520850.6552211584
28,1521533.5338881905
29,1521303.7477756916
30,1521303.7477756916
31,1521303.7477756916
32,1521303.7477756916
33,1521303.7477756916
34,1521303.7477756916
35,1521303.7477756916
36,1521303.7477756916
37,1521303.7477756916
38,1521303.7477756916
39,1521303.7477756916
40,1521303.7477756916
41,1521303.7477756916
42,1521303.7477756916
43,1521303.7477756916
44,1521303.7477756916
45,1521303.7477756916
46,1521303.7477756916
47,1521303.7477756916
48,1521303.7477756916
49,1521303.7477756916
50,1521303.7477756916
51,1521303.7477756916
52,1521303.7477756916
53,1521303.7477756916
54,1521303.7477756916
55,1521303.7477756916
56,1521303.7477756916
57,1521303.7477756916
58,1521303.7477756916
59,1521303.7477756916
60,1521303.7477756916
61,1521303.7477756916
62,1521303.7477756916
