,0
0,553.9941080717836
1,4925.657927778317
2,3383.452733288519
3,-5869.474315212807
4,7578.874122599838
5,3622.280070733046
6,1633.07101884461
7,6912.1601855338085
8,515.3315702083055
9,-2036.278631966794
10,792.9388816035353
11,-1087.3308346851263
12,8018.695728949038
13,11202.187085818266
14,3218.232085292926
15,-7400.920841721352
16,-6253.010022357572
17,9088.646573131904
18,-7686.942737190053
19,-1316.6113679884002
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,-1017.2643187593203
35,2083.0960176177323
36,7131.165141848382
37,692.059756510891
38,2889.3119095745496
39,-9094.902435114607
40,-1317.9733074258547
41,0.0
42,-260.83466347283684
43,597.5342077915557
44,-1832.184545817785
45,4285.1843519376125
46,1039.3237679225858
47,-1141.6935979509726
48,0.0
49,0.0
50,0.0
51,1024.9312431502622
52,-229.64150390774012
53,2295.1704777858686
54,1104.766252662288
55,-7479.152331559919
56,-2003.8678027743008
57,-4251.233159365831
58,-2320.208890115842
59,-1307.499210680835
60,0.0
61,0.0
