,0
0,1000000.0
1,1000028.4186185027
2,995177.7696889832
3,984254.4023321087
4,977274.3285354427
5,978290.98608999
6,982068.9742721673
7,959274.6519873639
8,973932.1484838191
9,948750.35189165
10,949390.7109944621
11,932846.7817635022
12,937125.6026232013
13,951896.2650011248
14,939446.2157404872
15,956304.2088739682
16,942258.3691445938
17,950951.7899243622
18,973206.757833315
19,974314.430304474
20,956733.2638449449
21,967062.9257901694
22,976150.123809019
23,964460.2579559347
24,951934.9306608657
25,947178.4520499015
26,942669.788650813
27,923055.8109624608
28,943534.6632791833
29,956569.0272669598
30,973865.1989341569
31,973158.3290448824
32,970499.0684241004
33,985877.6988019445
34,970826.1458465427
35,973644.7668887599
36,987237.0297732273
37,987198.9451330494
38,978751.0314298562
39,1004407.398789331
40,1006010.6679203557
41,1008975.7225951911
42,1013647.3655757667
43,1017546.9020863866
44,1006721.7364643619
45,1009965.7657951118
46,1013600.5990968085
47,1029680.5278453588
48,1029116.9180806492
49,1027819.8463005588
50,1029701.5434647893
51,1041847.2562730932
52,1056647.32256536
53,1057403.1122789527
54,1052851.480341468
55,1044430.434519477
56,1043940.8718011236
57,1045232.4630823279
58,1050552.4819103002
59,1053998.6897736124
60,1053432.3565933753
61,1061160.214449973
62,1053074.1039214088
