,0
0,1271803.164058011
1,1281093.9209433747
2,1294892.916204207
3,1293631.1738492965
4,1293631.1738492965
5,1293631.1738492965
6,1293631.1738492965
7,1293631.1738492965
8,1293631.1738492965
9,1293631.1738492965
10,1293631.1738492965
11,1293631.1738492965
12,1293631.1738492965
13,1293631.1738492965
14,1293631.1738492965
15,1293631.1738492965
16,1293631.1738492965
17,1293631.1738492965
18,1293631.1738492965
19,1293631.1738492965
20,1293631.1738492965
21,1293631.1738492965
22,1293631.1738492965
23,1293631.1738492965
24,1293631.1738492965
25,1293631.1738492965
26,1293631.1738492965
27,1293631.1738492965
28,1293631.1738492965
29,1293631.1738492965
30,1293631.1738492965
31,1293631.1738492965
32,1293631.1738492965
33,1293631.1738492965
34,1293631.1738492965
35,1293631.1738492965
36,1293631.1738492965
37,1293631.1738492965
38,1293631.1738492965
39,1293631.1738492965
40,1293631.1738492965
41,1293631.1738492965
42,1293631.1738492965
43,1293631.1738492965
44,1293631.1738492965
45,1293631.1738492965
46,1293631.1738492965
47,1293631.1738492965
48,1293631.1738492965
49,1293631.1738492965
50,1293631.1738492965
51,1292022.1885087502
52,1292825.652088351
53,1292578.7723193604
54,1288214.2236837721
55,1284201.3585640742
56,1291785.5011129184
57,1288108.8538703271
58,1287259.4610675247
59,1292683.905366791
60,1282818.5630998574
61,1290100.977324793
62,1292641.2721875636
