,0
0,1398456.3738675818
1,1397324.6775962648
2,1397088.1860029758
3,1397088.1860029758
4,1397088.1860029758
5,1397088.1860029758
6,1397088.1860029758
7,1397088.1860029758
8,1397088.1860029758
9,1397088.1860029758
10,1397088.1860029758
11,1397088.1860029758
12,1397088.1860029758
13,1397088.1860029758
14,1397088.1860029758
15,1397088.1860029758
16,1397088.1860029758
17,1397088.1860029758
18,1397088.1860029758
19,1397088.1860029758
20,1397088.1860029758
21,1397088.1860029758
22,1397088.1860029758
23,1397088.1860029758
24,1397088.1860029758
25,1397088.1860029758
26,1397088.1860029758
27,1397088.1860029758
28,1396428.3749185011
29,1396188.5739281464
30,1396188.5739281464
31,1396188.5739281464
32,1396188.5739281464
33,1396188.5739281464
34,1396188.5739281464
35,1396188.5739281464
36,1396188.5739281464
37,1396188.5739281464
38,1396188.5739281464
39,1396188.5739281464
40,1396188.5739281464
41,1396188.5739281464
42,1396188.5739281464
43,1396188.5739281464
44,1396188.5739281464
45,1396188.5739281464
46,1396188.5739281464
47,1396188.5739281464
48,1396188.5739281464
49,1396188.5739281464
50,1396188.5739281464
51,1396188.5739281464
52,1396188.5739281464
53,1396188.5739281464
54,1396188.5739281464
55,1396188.5739281464
56,1396188.5739281464
57,1396188.5739281464
58,1396188.5739281464
59,1396188.5739281464
60,1396188.5739281464
61,1396188.5739281464
62,1396188.5739281464
