,0
0,1285522.2440534197
1,1286076.2381614915
2,1291001.8960892698
3,1294385.3488225583
4,1288515.8745073455
5,1296094.7486299453
6,1299717.0287006784
7,1301350.099719523
8,1308262.2599050568
9,1308777.591475265
10,1306741.3128432983
11,1307534.2517249018
12,1306446.9208902167
13,1314465.6166191658
14,1325667.803704984
15,1328886.035790277
16,1321485.1149485556
17,1315232.104926198
18,1324320.75149933
19,1316633.8087621399
20,1315317.1973941515
21,1315317.1973941515
22,1315317.1973941515
23,1315317.1973941515
24,1315317.1973941515
25,1315317.1973941515
26,1315317.1973941515
27,1315317.1973941515
28,1315317.1973941515
29,1315317.1973941515
30,1315317.1973941515
31,1315317.1973941515
32,1315317.1973941515
33,1315317.1973941515
34,1315317.1973941515
35,1314299.9330753922
36,1316383.02909301
37,1323514.1942348583
38,1324206.2539913692
39,1327095.5659009437
40,1318000.663465829
41,1316682.6901584032
42,1316682.6901584032
43,1316421.8554949304
44,1317019.389702722
45,1315187.2051569042
46,1319472.3895088418
47,1320511.7132767644
48,1319370.0196788134
49,1319370.0196788134
50,1319370.0196788134
51,1319370.0196788134
52,1320394.9509219637
53,1320165.309418056
54,1322460.4798958418
55,1323565.246148504
56,1316086.0938169442
57,1314082.2260141699
58,1309830.992854804
59,1307510.7839646882
60,1306203.2847540074
61,1306203.2847540074
62,1306203.2847540074
